date,Close,High,Low,Open,Volume,SMA_200
2022-01-03 00:00:00+00:00,0.71,0.71,0.6701,0.6823,232012,
2022-01-04 00:00:00+00:00,0.7098,0.729,0.6951,0.72,174920,
2022-01-05 00:00:00+00:00,0.6851,0.7299,0.68255,0.7137,356905,
2022-01-06 00:00:00+00:00,0.6768,0.6998,0.664,0.681,499415,
2022-01-07 00:00:00+00:00,0.6709,0.7016,0.6627,0.6627,214878,
2022-01-10 00:00:00+00:00,0.6754,0.6955,0.6037,0.674,550531,
2022-01-11 00:00:00+00:00,0.698,0.6997,0.6601,0.6707,306401,
2022-01-12 00:00:00+00:00,0.7013,0.7053,0.6758,0.7,565141,
2022-01-13 00:00:00+00:00,0.6852,0.7082,0.68,0.7,315616,
2022-01-14 00:00:00+00:00,0.661,0.6898,0.6573,0.68,417658,
2022-01-18 00:00:00+00:00,0.67,0.68,0.66,0.68,195558,
2022-01-19 00:00:00+00:00,0.7144,0.7149,0.6627,0.666,970403,
2022-01-20 00:00:00+00:00,0.7137,0.8,0.7029,0.72,635009,
2022-01-21 00:00:00+00:00,0.675,0.77,0.675,0.77,451143,
2022-01-24 00:00:00+00:00,0.6375,0.68495,0.627501,0.68,749523,
2022-01-25 00:00:00+00:00,0.6419,0.67505,0.64,0.6536,677894,
2022-01-26 00:00:00+00:00,0.7,0.7347,0.65,0.6856,1924407,
2022-01-27 00:00:00+00:00,0.6507,0.69,0.6507,0.69,437624,
2022-01-28 00:00:00+00:00,0.6435,0.67,0.6322,0.6682,240161,
2022-01-31 00:00:00+00:00,0.69,0.69,0.64,0.6425,307135,
2022-02-01 00:00:00+00:00,0.68,0.68,0.66271,0.676,385500,
2022-02-02 00:00:00+00:00,0.673,0.6881,0.66,0.678,569853,
2022-02-03 00:00:00+00:00,0.667,0.68,0.652401,0.66,356643,
2022-02-04 00:00:00+00:00,0.6606,0.6831,0.66,0.675,283758,
2022-02-07 00:00:00+00:00,0.6711,0.6939,0.65,0.65,854005,
2022-02-08 00:00:00+00:00,0.699,0.7049,0.6755,0.68,344046,
2022-02-09 00:00:00+00:00,0.685,0.71,0.665,0.6936,372490,
2022-02-10 00:00:00+00:00,0.66,0.71,0.6551,0.6728,558114,
2022-02-11 00:00:00+00:00,0.7148,0.718099,0.6636,0.6636,684921,
2022-02-14 00:00:00+00:00,0.725,0.7347,0.715,0.7298,456306,
2022-02-15 00:00:00+00:00,0.73,0.7319,0.703,0.715,594779,
2022-02-16 00:00:00+00:00,0.76,0.76,0.72,0.73,467188,
2022-02-17 00:00:00+00:00,0.7733,0.7788,0.7301,0.7301,597000,
2022-02-18 00:00:00+00:00,0.7539,0.785,0.747,0.78,327275,
2022-02-22 00:00:00+00:00,0.7494,0.7568,0.735,0.7401,379050,
2022-02-23 00:00:00+00:00,0.7735,0.7735,0.71,0.74,740172,
2022-02-24 00:00:00+00:00,0.7697,0.79,0.7501,0.79,527934,
2022-02-25 00:00:00+00:00,0.6092,0.7698,0.5998,0.76,3119387,
2022-02-28 00:00:00+00:00,0.6176,0.6371,0.564899,0.6371,1319900,
2022-03-01 00:00:00+00:00,0.62,0.62,0.57525,0.5975,1278130,
2022-03-02 00:00:00+00:00,0.6099,0.6187,0.5899,0.6057,509197,
2022-03-03 00:00:00+00:00,0.6197,0.62,0.594,0.6094,886443,
2022-03-04 00:00:00+00:00,0.597101,0.6199,0.5827,0.6187,967005,
2022-03-07 00:00:00+00:00,0.6225,0.6348,0.6049,0.61,1201603,
2022-03-08 00:00:00+00:00,0.6704,0.6704,0.6187,0.631,2395936,
2022-03-09 00:00:00+00:00,0.6538,0.6538,0.61,0.6417,643219,
2022-03-10 00:00:00+00:00,0.6381,0.6599,0.63,0.6446,866101,
2022-03-11 00:00:00+00:00,0.6328,0.6699,0.623,0.66,936462,
2022-03-14 00:00:00+00:00,0.58,0.6299,0.5783,0.6299,944577,
2022-03-15 00:00:00+00:00,0.5927,0.5945,0.5625,0.57,691579,
2022-03-16 00:00:00+00:00,0.61,0.62,0.5777,0.582,778766,
2022-03-17 00:00:00+00:00,0.629,0.637,0.61,0.6356,448061,
2022-03-18 00:00:00+00:00,0.616,0.642099,0.6001,0.62,939896,
2022-03-21 00:00:00+00:00,0.65,0.65,0.6182,0.62,874037,
2022-03-22 00:00:00+00:00,0.6301,0.65,0.611,0.65,429534,
2022-03-23 00:00:00+00:00,0.6399,0.64,0.6112,0.64,473648,
2022-03-24 00:00:00+00:00,0.63,0.64,0.6226,0.64,229150,
2022-03-25 00:00:00+00:00,0.6301,0.6301,0.617449,0.63,193407,
2022-03-28 00:00:00+00:00,0.6,0.6349,0.6,0.6251,351575,
2022-03-29 00:00:00+00:00,0.5957,0.602,0.57,0.6,425875,
2022-03-30 00:00:00+00:00,0.556,0.57,0.5216,0.57,1098380,
2022-03-31 00:00:00+00:00,0.5528,0.5621,0.54,0.56,510790,
2022-04-01 00:00:00+00:00,0.532,0.55,0.5031,0.5475,1880730,
2022-04-04 00:00:00+00:00,0.535,0.545,0.5205,0.54,689643,
2022-04-05 00:00:00+00:00,0.535,0.5412,0.52,0.5278,632774,
2022-04-06 00:00:00+00:00,0.5299,0.5379,0.52,0.52,298168,
2022-04-07 00:00:00+00:00,0.5408,0.5421,0.5201,0.5261,469933,
2022-04-08 00:00:00+00:00,0.5373,0.549,0.5332,0.542,502348,
2022-04-11 00:00:00+00:00,0.524,0.541,0.518,0.525,405219,
2022-04-12 00:00:00+00:00,0.526,0.5333,0.52,0.52,480061,
2022-04-13 00:00:00+00:00,0.52,0.5364,0.519,0.526,434102,
2022-04-14 00:00:00+00:00,0.53,0.5348,0.52,0.53,241050,
2022-04-18 00:00:00+00:00,0.5338,0.5417,0.5216,0.532,403248,
2022-04-19 00:00:00+00:00,0.529,0.539999,0.515,0.52,329220,
2022-04-20 00:00:00+00:00,0.5209,0.53,0.516,0.525,241761,
2022-04-21 00:00:00+00:00,0.5101,0.522003,0.5,0.52,487415,
2022-04-22 00:00:00+00:00,0.505,0.52,0.5,0.507,347681,
2022-04-25 00:00:00+00:00,0.475,0.49,0.454,0.4835,550231,
2022-04-26 00:00:00+00:00,0.4616,0.4788,0.458,0.47,748481,
2022-04-27 00:00:00+00:00,0.4619,0.47,0.4559,0.4559,288133,
2022-04-28 00:00:00+00:00,0.47,0.48,0.460477,0.48,318637,
2022-04-29 00:00:00+00:00,0.45,0.474999,0.45,0.47,394850,
2022-05-02 00:00:00+00:00,0.445,0.451148,0.43,0.45,806220,
2022-05-03 00:00:00+00:00,0.4537,0.45397,0.4366,0.4374,262785,
2022-05-04 00:00:00+00:00,0.4621,0.465,0.445,0.4541,173255,
2022-05-05 00:00:00+00:00,0.44,0.4761,0.44,0.471,235913,
2022-05-06 00:00:00+00:00,0.4505,0.5,0.45,0.464,200486,
2022-05-09 00:00:00+00:00,0.42,0.458,0.42,0.434,822550,
2022-05-10 00:00:00+00:00,0.408199,0.437,0.37,0.4205,555083,
2022-05-11 00:00:00+00:00,0.4001,0.43,0.395,0.4154,428152,
2022-05-12 00:00:00+00:00,0.3814,0.4143,0.3658,0.37,724204,
2022-05-13 00:00:00+00:00,0.3945,0.4045,0.382,0.39,413632,
2022-05-16 00:00:00+00:00,0.4099,0.4099,0.3911,0.4021,146388,
2022-05-17 00:00:00+00:00,0.4181,0.4181,0.395,0.4,204501,
2022-05-18 00:00:00+00:00,0.4023,0.42,0.4002,0.41,151586,
